"jp","en"
"チェックインをお願いします。名前は{0}です。","I'd like to check in. My name is {0}."
"これが予約確認書です。","This is a confirmation slip."
"予約してません。空いている部屋はありますか？","I have no reservation. Do you have a room available?"
"シングル１部屋で、２泊です。","One single room for 2 nights."
"ダブルルーム１部屋で１泊です。","One double room for 1 night."
"ツインルーム１部屋で３泊です。","One twin room for 3 nights."
"バスルーム/シャワーつきの部屋ですか？","Is this room with a bath / shower?"
"ご予約頂いている{0}様ですね。","Mr (Ms){0}. Yes, we have your reservation."
"空いている部屋はございます。どうぞ、お泊まり下さい。","We have a room available. We can provide a room for you."
"あいにく、空いている部屋はございません。","Unfortunately, we have no rooms available."
"こちらのフォームにご記入下さい。","Please fill out this form."
"お支払はクレジットカードですか？","Will you make payment by credit card?"
"では、クレジットカードをお願い致します。","OK, can I have your credit card, please."
"有難うございました。（カードを返す。）","Thank you very much. (returning the credit card.)"
"料金は前払いとなっております。{0}ドルをお願い致します。","We may ask you for a prepayment. The amount is {0} Dollars."
"有難うございました。こちらが領収書です。","Thank you very much. This is the receipt."
"お部屋の番号は{0}になります。こちらが鍵です。","Your room number is {0}. This is the room key."
"お部屋は２階です。","Your room is on second floor."
"お部屋は３階です。","Your room in on third floor."
"今、係りの者がお部屋までご案内いたします。","Please wait one minute. We will take you to the room now."
"外出の際は、鍵をフロントにお預け下さい。","Please leave your key at the front desk when you go out."
"朝食はカフェテリアでお取り頂けます。","You can have breakfast at the cafeteria."
"朝食は料金に含まれています。","Breakfast is included in the room rate."
"カフェテリアは１階、あちらにございます。 (方向を手で示しながら。）","The cafeteria is on the ground (first) floor. It is over there. (pointing in the direction)"
"夕食は近くのレストラン、または当ホテル１階のレストランをご利用下さい。","You can enjoy dinner at a restaurant nearby or the restaurant on the first floor of our hotel."
"何かご要望がございましたら、フロントにお申し付け下さい。","If you have any requests, please call to our front desk."
"チェックアウトは{0}時までにお願いします。","Please check out by {0} o'clock."
"ご滞在をお楽しみ下さい。","Enjoy your stay."
"今から部屋を使えますか？","Can I use the room now?"
"荷物を部屋に運んでもらえますか？","Can I ask you to bring my baggage to my room?"
"荷物を預かってもらえますか？","Can I leave my baggage at your hotel?"
"預かって頂いていた荷物をお願いします。名前は{0}です。","Can I have my baggage that I asked you to keep? My name is {0}."
"（今から外出します。）鍵を預かって下さい。","(I will go out now.) Please keep my key, thanks."
"かしこまりました。","Certainly."
"（外出から帰り、）鍵を下さい。部屋の番号は{0}です。","(Coming back to the hotel) Can I have my key? My room number is {0}."
"どうぞ、こちらです。","Here's your key."
"タクシーを呼んでもらえますか？","Would you call me a taxi please?"
"かしこまりました。  ただ今、手配しましたので、ロビーでお待ち下さい。 {0}様、タクシーが参りました。","Certainly. I have arranged a taxi for you.  Please wait in the lobby.  Mr.{0}. The taxi has arrived."
"カギを部屋の中に置いたまま、ドアを閉めてしまいました。","I have locked myself out."
"ツアーの手配をお願いできますか？このツアーに参加したいんです。（ホテルにあったパンフレットを見せる。）","Can I ask you to arrange this tour for me? (Showing an ad provided at the hotel)"
"ファクシミリはありますか？","Do you have a facsimile?"
"インターネットが使えるコンピュータはありますか？","Do you have public access computers with Internet connection?"
"今夜、戻るのが遅くなります。","I'll be back late tonight."
"表のドアは何時に締まりますか？","What time do you close the front door?"
"この近くにおすすめのレストランありませんか？","Do you have any suggestions for good restaurants in the area?"
"明日朝、モーニングコールを{0}時にお願いします。部屋番号{1}の{2}です。","Can I ask you for a wakeup call at {0} am tomorrow morning? My name is {1}, room number is {2}."
"洗濯をお願いします。","Can I ask you to do my laundry?"
"仕上りはいつになりますか？","When will it be ready?"
"コインランドリーはありますか？","Do you have coinoperated laundry machines?"
"チェックアウトお願いします。","I want to check out please."
"有難うございます。少々お待ち下さい。","Thank you very much. Just a moment please."
"料金は{0}ドルとなります。 明細書はこちらです。","Your bill is {0}dollars. This is the bill statement."
"料金に計算違いがある様なんですが。","I think there is a mistake in the calculation of my bill."
"これは何の料金ですか？（明細を見せながら）","What is this charge for? (showing the statement.)"
"電話は使いませんでしたよ。","I didn't make any phone calls."
"映画は見ていないです。","I didn't watch any movies."
"ミニバーのコーラをお飲みになりましたので、その料金です。","You had a coke from the mini bar. This is fee."
"それでは、こちらにサインをお願いします。","Please put your signature here, thanks."
"預けていた貴重品を出してください。","I'd like my valuables back."
